"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Delta Quería decir @DeltaETSIT, claro",FALSE,0,"dgilperez",2017-09-26 17:56:41,FALSE,"912723777003442176","912737704324009984","27842884","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","dgilperez",0,FALSE,FALSE,NA,NA
"2","@Delta https://t.co/bVemfokNiX",FALSE,0,"Delta",2017-09-26 17:56:32,FALSE,"912736373660164096","912737669125476353","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SareBear80",0,FALSE,FALSE,NA,NA
"3","Really @Delta? Thought this was a joke!! MQD waiver skyrocketing from 25k to 250k. What feedback did you hear? You… https://t.co/V6KTs9ykW5",FALSE,0,NA,2017-09-26 17:56:31,TRUE,NA,"912737661751906305",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","iMcIsh",0,FALSE,FALSE,NA,NA
"4","exec life must be good @delta if they think spending $250k a year on a CC is attainable for normal loyal members. Over $22k a month.",FALSE,0,NA,2017-09-26 17:56:08,FALSE,NA,"912737567862329344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DougHoffert",0,FALSE,FALSE,NA,NA
"5","@delta do you have any info on Dl4277 and its delay?  The only agent at SCE is busy rebooking passengers",FALSE,0,"Delta",2017-09-26 17:56:08,FALSE,NA,"912737566746710017","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mplsgreg",0,FALSE,FALSE,NA,NA
"6","Anyone get the @Delta Amex 2019 medallion spend change to qualify for Diamond status? Annual personal spend went from 25k to 250k <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>",FALSE,0,NA,2017-09-26 17:55:57,FALSE,NA,"912737522928697344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mooreofdan",0,FALSE,FALSE,NA,NA
"7","@lisaflip @Delta @thepointsguy what is this craziness?",FALSE,0,"lisaflip",2017-09-26 17:55:53,FALSE,"912736128792272896","912737505631285255","36707330","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gilly",0,FALSE,FALSE,NA,NA
"8","RT @Delta: @JennlovesTWD We are so happy to help those in need Jenn. Thanks for the awesome compliment. <ed><U+00A0><U+00BD><ed><U+00B8><U+0084> *TMS",FALSE,0,NA,2017-09-26 17:55:40,FALSE,NA,"912737450195382273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennlovesTWD",1,TRUE,FALSE,NA,NA
"9","@CandaceSuzanne3 @Delta Good to know, Candace! What kind of wine do you enjoy most?",FALSE,0,"CandaceSuzanne3",2017-09-26 17:55:31,FALSE,"912322131500965890","912737412866068481","27353498","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AceroSTL",0,FALSE,FALSE,NA,NA
"10","@Delta now requires $250k in @AmericanExpress spend to receive Diamond Medallion waiver - going to lead to many unhappy <ed><U+00A0><U+00BD><ed><U+00B2><U+008E>s #insulting",FALSE,0,"Delta",2017-09-26 17:55:22,FALSE,NA,"912737373213069312","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThePerfectSwipe",0,FALSE,FALSE,NA,NA
