"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ChicagosMayor: Thank you @United for answering the call to provide relief to Puerto Rico. Find ways to donate &amp; volunteer to help: http…",FALSE,0,NA,2017-09-26 18:00:05,FALSE,NA,"912738559597178882",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sherrypie_99",201,TRUE,FALSE,NA,NA
"2","@united - you don't give a shit do you? I could've flown on @VirginAmerica which is my preference but needed to get in earlier. Now I'm late",FALSE,0,"united",2017-09-26 17:59:53,FALSE,NA,"912738512557838336","260907612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mwalsh",0,FALSE,FALSE,NA,NA
"3","Never taking @united again. Terrible service.",FALSE,0,NA,2017-09-26 17:58:49,FALSE,NA,"912738241580720128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","bursnarfsky",0,FALSE,FALSE,NA,NA
"4","@PointsFitness @united Nobody is stopping you from 125k buty in seat miles and a laughable $15k in tix.",FALSE,0,"PointsFitness",2017-09-26 17:58:35,FALSE,"912735736566296576","912738184949362694","4514467102","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","g_swedberg",0,FALSE,FALSE,NA,NA
"5","RT @united: 200,000+ lbs. of supplies and counting as humanitarian flights continue to SJU. Join our relief efforts: https://t.co/WzMD3agbj…",FALSE,0,NA,2017-09-26 17:58:01,FALSE,NA,"912738039948070912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarasultan",58,TRUE,FALSE,NA,NA
"6","@united There is no consideration for customers. Hitching a ride to denver with strangers, to catch next flight. Sh… https://t.co/y2FeU7plXm",FALSE,0,"united",2017-09-26 17:57:53,TRUE,"912734507974848512","912738009497210880","260907612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drpnutbutter",0,FALSE,FALSE,NA,NA
"7","RT @united: 200,000+ lbs. of supplies and counting as humanitarian flights continue to SJU. Join our relief efforts: https://t.co/WzMD3agbj…",FALSE,0,NA,2017-09-26 17:57:49,FALSE,NA,"912737992762167296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EPs_YYC",58,TRUE,FALSE,NA,NA
"8","NEW: @United flight from Vancouver to #Chicago involved in near miss with glider over Rockford https://t.co/39cHsyWiLB #aviation #travel",FALSE,0,NA,2017-09-26 17:57:36,FALSE,NA,"912737935178584065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveGrzanich",0,FALSE,FALSE,NA,NA
"9","@morgan_murphy @anylaurie16 @jackiekashian @Delta More importantly, @United is going to hear from a lot of us.",FALSE,4,"DougStanhope",2017-09-26 17:57:17,FALSE,"912735137779081216","912737858309513217","14867598","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DougStanhope",0,FALSE,FALSE,NA,NA
"10","@united Thank you! I just noticed the tent is sold out but will definitely check out the Fan Experience in the Fan Village.",FALSE,0,"united",2017-09-26 17:56:33,FALSE,"912705272962936833","912737673151950848","260907612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jml8682",0,FALSE,FALSE,NA,NA
